,sc_id,sc_feed_id,sc_first_name,sc_last_name,sc_team_id,sc_price,sc_team,sc_position,sc_long_team,fanfooty_player_id,fanfooty_afl_player_id,fanfooty_first_name,fanfooty_surname,fanfooty_team,fanfooty_status,fanfooty_number,fanfooty_birth_date,fanfooty_height,fanfooty_weight,fanfooty_state_of_origin,fanfooty_recruited_from,fanfooty_games,fanfooty_goals,short_team
0,1,294472,Rory,Atkins,1,410000,ADE,MID,Adelaide,43031,294472.0,Rory,Atkins,Adelaide,senior,21.0,1994-07-12,186.0,85.0,VIC,Calder Cannons,97.0,45.0,ADE
1,2,293193,Luke,Brown,1,369300,ADE,DEF,Adelaide,42301,293193.0,Luke,Brown,Adelaide,senior,16.0,1992-09-22,181.0,81.0,SA,Norwood,150.0,13.0,ADE
2,3,1004995,Jordon,Butts,1,123900,ADE,DEF,Adelaide,49119,1004995.0,Jordon,Butts,Adelaide,rookie,41.0,1999-12-31,198.0,83.0,VIC,Murray Bushrangers,,,ADE
3,4,993796,Ben,Crocker,1,152000,ADE,FWD,Adelaide,46036,993796.0,Ben,Crocker,Adelaide,rookie,20.0,1997-02-19,188.0,84.0,VIC,Oakleigh Chargers,26.0,21.0,ADE
4,5,294307,Brad,Crouch,1,534100,ADE,MID,Adelaide,42260,294307.0,Brad,Crouch,Adelaide,senior,2.0,1994-01-14,186.0,85.0,VIC,North Ballarat Rebels,83.0,32.0,ADE
5,6,297401,Matt,Crouch,1,563000,ADE,MID,Adelaide,44012,297401.0,Matt,Crouch,Adelaide,senior,5.0,1995-04-21,182.0,80.0,VIC,North Ballarat Rebels,109.0,26.0,ADE
6,7,298417,Ben,Davis,1,123900,ADE,FWD,Adelaide,47096,298417.0,Ben,Davis,Adelaide,senior,40.0,1997-05-19,187.0,85.0,NSW,UNSW,1.0,0.0,ADE
7,8,1000932,Tom,Doedee,1,273700,ADE,DEF,Adelaide,46081,1000932.0,Tom,Doedee,Adelaide,senior,39.0,1997-03-01,188.0,88.0,VIC,Geelong Falcons,21.0,2.0,ADE
8,9,999331,Darcy,Fogarty,1,283500,ADE,FWD,Adelaide,48006,999331.0,Darcy,Fogarty,Adelaide,senior,32.0,1999-09-25,193.0,94.0,SA,Glenelg,14.0,18.0,ADE
9,10,991773,Billy,Frampton,1,165400,ADE,FWD,Adelaide,45147,991773.0,Billy,Frampton,Adelaide,senior,22.0,1996-11-20,200.0,90.0,WA,South Fremantle,3.0,4.0,ADE
10,11,998106,Jordan,Gallucci,1,269900,ADE,FWD,Adelaide,47024,998106.0,Jordan,Gallucci,Adelaide,senior,7.0,1998-05-04,182.0,78.0,VIC,Eastern Ranges,27.0,19.0,ADE
11,12,250417,Bryce,Gibbs,1,375100,ADE,MID,Adelaide,39495,250417.0,Bryce,Gibbs,Adelaide,senior,6.0,1989-03-15,188.0,84.0,SA,Glenelg,265.0,152.0,ADE
12,13,1018075,Lachlan,Gollant,1,117300,ADE,DEF MID,Adelaide,49952,1018075.0,Lachlan,Gollant,Adelaide,senior,44.0,2001-09-12,189.0,70.0,VIC,Calder Cannons,,,ADE
13,14,1008159,William,Hamill,1,123900,ADE,DEF,Adelaide,49062,1008159.0,Will,Hamill,Adelaide,senior,17.0,2000-11-17,186.0,71.0,VIC,Dandenong Stingrays,,,ADE
14,15,290228,Kyle,Hartigan,1,239200,ADE,DEF,Adelaide,42090,290228.0,Kyle,Hartigan,Adelaide,senior,15.0,1991-11-07,194.0,98.0,VIC,Werribee  ,101.0,1.0,ADE
15,16,1005199,Elliott,Himmelberg,1,277900,ADE,FWD,Adelaide,47082,1005199.0,Elliott,Himmelberg,Adelaide,senior,34.0,1998-06-04,198.0,96.0,QLD,Redlands,8.0,9.0,ADE
16,17,1006203,Chayce,Jones,1,271500,ADE,FWD,Adelaide,49023,1006203.0,Chayce,Jones,Adelaide,senior,1.0,2000-01-14,180.0,77.0,TAS,Launceston,8.0,3.0,ADE
17,18,993946,Ben,Keays,1,266100,ADE,FWD,Adelaide,46014,993946.0,Ben,Keays,Adelaide,rookie,28.0,1997-02-23,185.0,89.0,QLD,Redlands,30.0,11.0,ADE
18,19,297473,Jake,Kelly,1,406300,ADE,DEF,Adelaide,44097,297473.0,Jake,Kelly,Adelaide,senior,8.0,1995-01-21,190.0,89.0,VIC,Oakleigh Chargers,75.0,1.0,ADE
19,20,295103,Riley,Knight,1,344300,ADE,FWD,Adelaide,44047,295103.0,Riley,Knight,Adelaide,senior,3.0,1995-03-27,181.0,80.0,SA,Woodville-West Torrens,54.0,37.0,ADE
20,21,293222,Rory,Laird,1,525800,ADE,DEF,Adelaide,42344,293222.0,Rory,Laird,Adelaide,senior,29.0,1993-12-29,177.0,81.0,SA,West Adelaide,143.0,12.0,ADE
21,22,270938,Tom,Lynch,1,459900,ADE,FWD,Adelaide,40030,270938.0,Tom T.,Lynch,Adelaide,senior,27.0,1990-09-15,193.0,88.0,VIC,Sandringham Dragons,139.0,189.0,ADE
22,23,250362,David,Mackay,1,361100,ADE,DEF MID,Adelaide,39486,250362.0,David,Mackay,Adelaide,senior,14.0,1988-07-25,181.0,78.0,VIC,Oakleigh,220.0,60.0,ADE
23,24,298470,Shane,McAdam,1,123900,ADE,FWD,Adelaide,49070,298470.0,Shane,McAdam,Adelaide,senior,23.0,1995-05-28,181.0,78.0,WA,Sturt,,,ADE
24,25,1009201,Fischer,Mcasey,1,184800,ADE,DEF,Adelaide,49910,1009201.0,Fischer,McAsey,Adelaide,senior,35.0,2001-03-08,195.0,86.0,VIC,Sandringham Dragons,,,ADE
25,26,1008185,Ned,McHenry,1,123900,ADE,MID,Adelaide,49017,1008185.0,Ned,McHenry,Adelaide,senior,25.0,2000-07-13,179.0,70.0,VIC,Geelong Falcons,,,ADE
26,27,997206,Andrew,McPherson,1,123900,ADE,DEF,Adelaide,48073,997206.0,Andrew,McPherson,Adelaide,senior,36.0,1999-06-20,186.0,79.0,SA,Woodville West Torrens,0.0,0.0,ADE
27,28,990882,Wayne,Milera,1,402500,ADE,DEF MID,Adelaide,46021,990882.0,Wayne,Milera,Adelaide,senior,30.0,1997-09-14,184.0,81.0,SA,Central Districts,60.0,21.0,ADE
28,29,1000998,Lachlan,Murphy,1,295800,ADE,FWD,Adelaide,48233,1000998.0,Lachlan,Murphy,Adelaide,senior,4.0,1998-12-04,176.0,76.0,SA,Adelaide FC,32.0,31.0,ADE
29,30,297523,Reilly,O'Brien,1,517400,ADE,RUC,Adelaide,45155,297523.0,Reilly,O'Brien,Adelaide,senior,43.0,1995-08-20,202.0,101.0,VIC,Calder Cannons,20.0,3.0,ADE
30,31,1011254,Ronin,O'Connor,1,117300,ADE,MID,Adelaide,49946,1011254.0,Ronin,O'Connor,Adelaide,senior,37.0,2001-02-01,191.0,85.0,WA,Claremont,,,ADE
31,32,1000908,Myles,Poholke,1,221600,ADE,FWD,Adelaide,47052,1000908.0,Myles,Poholke,Adelaide,senior,10.0,1998-07-10,186.0,86.0,VIC,Dandenong Stingrays,11.0,3.0,ADE
32,33,1008543,Harry,Schoenberg,1,117300,ADE,MID,Adelaide,49928,1008543.0,Harry,Schoenberg,Adelaide,senior,26.0,2001-02-21,180.0,78.0,SA,Woodville-West Torrens,,,ADE
33,34,294733,Paul,Seedsman,1,392700,ADE,MID,Adelaide,42142,294733.0,Paul,Seedsman,Adelaide,senior,11.0,1992-01-22,190.0,87.0,VIC,Eastern Ranges,101.0,50.0,ADE
34,35,1006136,Lachlan,Sholl,1,123900,ADE,DEF,Adelaide,49069,1006136.0,Lachlan,Sholl,Adelaide,senior,38.0,2000-03-07,185.0,77.0,VIC,Calder Cannons,,,ADE
35,36,270963,Rory,Sloane,1,559300,ADE,MID,Adelaide,40065,270963.0,Rory,Sloane,Adelaide,senior,9.0,1990-03-17,182.0,83.0,VIC,Eastern Ranges,199.0,122.0,ADE
36,37,291748,Brodie,Smith,1,481300,ADE,DEF,Adelaide,42009,291748.0,Brodie,Smith,Adelaide,senior,33.0,1992-01-14,189.0,90.0,SA,Woodville West Torrens,167.0,57.0,ADE
37,38,997230,Tyson,Stengle,1,202000,ADE,FWD,Adelaide,47069,997230.0,Tyson,Stengle,Adelaide,senior,18.0,1998-10-19,172.0,73.0,SA,Woodville-West Torrens,4.0,7.0,ADE
38,39,1008752,Kieran,Strachan,1,123900,ADE,RUC FWD,Adelaide,49106,1008752.0,Kieran,Strachan,Adelaide,rookie,45.0,1995-10-05,204.0,95.0,VIC,Port Melbourne,,,ADE
39,40,280934,Daniel,Talia,1,377700,ADE,DEF,Adelaide,41009,280934.0,Daniel,Talia,Adelaide,senior,12.0,1991-10-02,197.0,98.0,VIC,Calder Cannons,186.0,6.0,ADE
40,41,280506,Taylor,Walker,1,365600,ADE,FWD,Adelaide,39614,280506.0,Taylor,Walker,Adelaide,senior,13.0,1990-04-25,193.0,100.0,NSW,Broken Hill North,189.0,426.0,ADE
41,42,295964,Patrick,Wilson,1,190100,ADE,MID,Adelaide,43051,295964.0,Patrick,Wilson,Adelaide,rookie,31.0,1994-12-11,188.0,89.0,SA,Sturt,2.0,0.0,ADE
42,43,1011981,Joshua,Worrell,1,117300,ADE,DEF FWD,Adelaide,49932,1011981.0,Joshua,Worrell,Adelaide,senior,24.0,2001-04-11,195.0,74.0,VIC,Sandringham Dragons,,,ADE
43,44,294168,Marcus,Adams,2,316300,BRL,DEF,Brisbane,46085,294168.0,Marcus,Adams,Brisbane Lions,senior,24.0,1993-06-30,192.0,93.0,WA,West Perth ,35.0,4.0,BRI
44,45,298437,Callum,Ah Chee,2,311700,BRL,MID,Brisbane,46012,298437.0,Callum,Ah Chee,Brisbane Lions,senior,4.0,1997-10-09,182.0,78.0,WA,South Fremantle,45.0,24.0,BRI
45,46,998268,Jacob,Allison,2,176800,BRL,MID,Brisbane,47029,998268.0,Jacob,Allison,Brisbane Lions,rookie,19.0,1998-04-16,195.0,87.0,QLD,Brisbane Academy,10.0,2.0,BRI
46,47,996059,Harris,Andrews,2,449300,BRL,DEF,Brisbane,45041,996059.0,Harris,Andrews,Brisbane Lions,senior,31.0,1996-12-11,201.0,100.0,QLD,Aspley,95.0,9.0,BRI
47,48,1005053,Noah,Answerth,2,336700,BRL,DEF,Brisbane,49086,1005053.0,Noah,Answerth,Brisbane Lions,senior,43.0,1999-08-06,182.0,82.0,VIC,Oakleigh Chargers,17.0,2.0,BRI
48,49,1002312,Zac,Bailey,2,263200,BRL,DEF MID,Brisbane,48015,1002312.0,Zac,Bailey,Brisbane Lions,senior,33.0,1999-09-23,182.0,83.0,NT,Southern Districts,25.0,11.0,BRI
49,50,1002351,Connor,Ballenden,2,123900,BRL,FWD,Brisbane,48009,1002351.0,Connor,Ballenden,Brisbane Lions,senior,38.0,1999-03-29,200.0,101.0,QLD,Wests Juniors,0.0,0.0,BRI
50,51,998133,Jarrod,Berry,2,461300,BRL,MID,Brisbane,47021,998133.0,Jarrod,Berry,Brisbane Lions,senior,7.0,1998-02-05,193.0,89.0,VIC,North Ballarat Rebels,55.0,26.0,BRI
51,52,1006100,Thomas,Berry,2,123900,BRL,FWD,Brisbane,49046,1006100.0,Tom,Berry,Brisbane Lions,senior,13.0,2000-05-01,185.0,76.0,VIC,GWV Rebels,,,BRI
52,53,240302,Grant,Birchall,2,292700,BRL,DEF,Brisbane,2028,240302.0,Grant,Birchall,Brisbane Lions,senior,14.0,1988-01-28,193.0,89.0,TAS,Devonport,247.0,34.0,BRI
53,54,990609,Charlie,Cameron,2,433200,BRL,FWD,Brisbane,44058,990609.0,Charlie,Cameron,Brisbane Lions,senior,23.0,1994-07-05,181.0,74.0,WA,Swan Districts,106.0,158.0,BRI
54,55,280918,Allen,Christensen,2,367800,BRL,FWD,Brisbane,41017,280918.0,Allen,Christensen,Brisbane Lions,senior,3.0,1991-05-19,176.0,79.0,VIC,Geelong Falcons,130.0,111.0,BRI
55,56,1006059,Keidean,Coleman,2,117300,BRL,MID FWD,Brisbane,49941,1006059.0,Keidean,Coleman,Brisbane Lions,senior,18.0,2000-03-31,182.0,75.0,QLD,Brisbane,,,BRI
56,57,994047,Cedric,Cox,2,167300,BRL,FWD,Brisbane,47063,994047.0,Cedric,Cox,Brisbane Lions,senior,20.0,1997-08-19,183.0,82.0,VIC,North Ballarat Rebels,13.0,3.0,BRI
57,58,290326,Matt,Eagles,2,155800,BRL,DEF,Brisbane,47124,290326.0,Matt,Eagles,Brisbane Lions,,41.0,1990-02-09,200.0,101.0,QLD,Yeronga South Brisbane,4.0,1.0,BRI
58,59,293479,Cameron,Ellis-Yolmen,2,507200,BRL,MID,Brisbane,42316,293479.0,Cam,Ellis-Yolmen,Brisbane Lions,senior,28.0,1993-01-28,190.0,96.0,SA,Woodville-West Torrens,39.0,15.0,BRI
59,60,1013532,Thomas,Fullarton,2,123900,BRL,FWD,Brisbane,49140,1013532.0,Tom,Fullarton,Brisbane Lions,rookie,47.0,1999-02-23,199.0,92.0,QLD,Brisbane Bullets,,,BRI
60,61,296269,Darcy,Gardiner,2,363300,BRL,DEF,Brisbane,44015,296269.0,Darcy,Gardiner,Brisbane Lions,senior,27.0,1995-09-22,193.0,92.0,VIC,Geelong Falcons,104.0,5.0,BRI
61,62,1004863,Mitchell,Hinge,2,210200,BRL,MID,Brisbane,47109,1004863.0,Mitchell,Hinge,Brisbane Lions,senior,22.0,1998-06-26,190.0,84.0,SA,Glenelg,2.0,1.0,BRI
62,63,993953,Eric,Hipwood,2,294000,BRL,FWD,Brisbane,46015,993953.0,Eric,Hipwood,Brisbane Lions,senior,30.0,1997-09-13,204.0,90.0,QLD,Aspley,73.0,110.0,BRI
63,64,1006150,Tom,Joyce,2,123900,BRL,FWD MID,Brisbane,49076,1006150.0,Tom,Joyce,Brisbane Lions,senior,32.0,2000-03-07,180.0,86.0,WA,East Fremantle,,,BRI
64,65,291548,Ryan,Lester,2,330000,BRL,DEF,Brisbane,42037,291548.0,Ryan,Lester,Brisbane Lions,senior,35.0,1992-08-26,192.0,85.0,VIC,Oakleigh Chargers,126.0,45.0,BRI
65,66,998105,Corey,Lyons,2,102400,BRL,MID,Brisbane,47048,998105.0,Corey,Lyons,Brisbane Lions,rookie,39.0,1998-05-31,184.0,83.0,VIC,Sandringham Dragons,0.0,0.0,BRI
66,67,293716,Jarryd,Lyons,2,535400,BRL,MID,Brisbane,42132,293716.0,Jarryd,Lyons,Brisbane Lions,senior,17.0,1992-07-22,184.0,84.0,VIC,Sandringham Dragons,114.0,62.0,BRI
67,68,1013978,James,Madden,2,123900,BRL,DEF FWD,Brisbane,49139,1013978.0,James,Madden,Brisbane Lions,rookie,42.0,1999-11-15,186.0,85.0,,Dublin,,,BRI
68,69,280763,Stefan,Martin,2,501100,BRL,RUC,Brisbane,39707,280763.0,Stefan,Martin,Brisbane Lions,senior,12.0,1986-11-17,199.0,104.0,VIC,Sandringham,180.0,45.0,BRI
69,70,993828,Rhys,Mathieson,2,325200,BRL,FWD MID,Brisbane,46013,993828.0,Rhys,Mathieson,Brisbane Lions,senior,36.0,1997-01-10,188.0,87.0,VIC,Geelong Falcons,46.0,24.0,BRI
70,71,293581,Lincoln,McCarthy,2,357400,BRL,FWD,Brisbane,42327,293581.0,Lincoln,McCarthy,Brisbane Lions,senior,11.0,1993-10-22,176.0,84.0,SA,Glenelg,50.0,45.0,BRI
71,72,1000978,Hugh,McCluggage,2,510700,BRL,MID,Brisbane,47001,1000978.0,Hugh,McCluggage,Brisbane Lions,senior,6.0,1998-03-03,187.0,85.0,VIC,North Ballarat Rebels,61.0,40.0,BRI
72,73,1006085,Connor,McFadyen,2,123900,BRL,FWD,Brisbane,49044,1006085.0,Connor,McFadyen,Brisbane Lions,senior,26.0,2000-12-04,190.0,81.0,QLD,Brisbane Academy,,,BRI
73,74,1005521,Oscar,McInerney,2,368400,BRL,RUC FWD,Brisbane,47115,1005521.0,Oscar,McInerney,Brisbane Lions,senior,46.0,1994-07-10,205.0,107.0,VIC,Casey Scorpions,35.0,24.0,BRI
74,75,297504,Daniel,McStay,2,305100,BRL,FWD,Brisbane,44031,297504.0,Daniel,McStay,Brisbane Lions,senior,25.0,1995-06-24,195.0,100.0,VIC,Eastern Ranges,101.0,72.0,BRI
75,76,293535,Lachie,Neale,2,658500,BRL,MID,Brisbane,42323,293535.0,Lachie,Neale,Brisbane Lions,senior,9.0,1993-05-24,177.0,85.0,SA,Glenelg,156.0,77.0,BRI
76,77,1002347,Jack,Payne,2,123900,BRL,DEF,Brisbane,48045,1002347.0,Jack,Payne,Brisbane Lions,senior,40.0,1999-10-15,197.0,101.0,QLD,Noosa,0.0,0.0,BRI
77,78,1009386,Jaxon,Prior,2,117300,BRL,DEF,Brisbane,49963,1009386.0,Jaxon,Prior,Brisbane Lions,senior,45.0,2001-06-04,188.0,79.0,WA,West Perth,,,BRI
78,79,1002235,Cameron,Rayner,2,251800,BRL,FWD,Brisbane,48001,1002235.0,Cameron,Rayner,Brisbane Lions,senior,16.0,1999-10-21,187.0,90.0,VIC,Western Jets,44.0,38.0,BRI
79,80,271072,Daniel,Rich,2,525800,BRL,DEF,Brisbane,40003,271072.0,Daniel,Rich,Brisbane Lions,senior,10.0,1990-06-07,183.0,87.0,WA,Subiaco,205.0,106.0,BRI
80,81,1009385,Deven,Robertson,2,117300,BRL,MID,Brisbane,49926,1009385.0,Deven,Robertson,Brisbane Lions,senior,2.0,2001-06-30,182.0,80.0,WA,Perth,,,BRI
81,82,290311,Mitch,Robinson,2,512700,BRL,MID,Brisbane,40018,290311.0,Mitch,Robinson,Brisbane Lions,senior,5.0,1989-06-07,184.0,90.0,TAS,Lauderdale,190.0,108.0,BRI
82,83,993836,Sam,Skinner,2,111400,BRL,FWD,Brisbane,46055,993836.0,Sam,Skinner,Brisbane Lions,rookie,21.0,1997-06-29,198.0,100.0,VIC,Gippsland Power,1.0,2.0,BRI
83,84,992752,Archie,Smith,2,179200,BRL,RUC,Brisbane,44136,992752.0,Archie,Smith,Brisbane Lions,rookie,44.0,1995-07-19,203.0,104.0,QLD,Mt Gravatt,11.0,4.0,BRI
84,85,1009242,Brock,Smith,2,117300,BRL,DEF,Brisbane,49937,1009242.0,Brock,Smith,Brisbane Lions,senior,1.0,2001-03-13,188.0,81.0,VIC,Gippsland Power,,,BRI
85,86,1006033,Ely,Smith,2,123900,BRL,FWD MID,Brisbane,49068,1006033.0,Ely,Smith,Brisbane Lions,senior,8.0,2000-09-13,187.0,86.0,VIC,Murray Bushrangers,,,BRI
86,87,1002401,Brandon,Starcevich,2,147700,BRL,DEF MID,Brisbane,48194,1002401.0,Brandon,Starcevich,Brisbane Lions,senior,37.0,1999-07-24,188.0,88.0,WA,East Perth,5.0,1.0,BRI
87,88,998128,Alex,Witherden,2,392800,BRL,DEF,Brisbane,47028,998128.0,Alex,Witherden,Brisbane Lions,senior,29.0,1998-09-10,188.0,85.0,VIC,Geelong Falcons,51.0,5.0,BRI
88,89,1002244,Toby,Wooller,2,123900,BRL,FWD MID,Brisbane,48163,1002244.0,Toby,Wooller,Brisbane Lions,senior,34.0,1999-03-16,195.0,88.0,VIC,Oakleigh Chargers,0.0,0.0,BRI
89,90,261224,Dayne,Zorko,2,579100,BRL,MID,Brisbane,42302,261224.0,Dayne,Zorko,Brisbane Lions,senior,15.0,1989-02-09,175.0,78.0,QLD,Broadbeach,166.0,183.0,BRI
90,91,240060,Eddie,Betts,3,337500,CAR,FWD,Carlton,1549,240060.0,Eddie,Betts,Carlton,senior,19.0,1986-11-26,174.0,74.0,VIC,Calder Cannons,316.0,600.0,CAR
91,92,281124,Levi,Casboult,3,403500,CAR,DEF FWD,Carlton,41073,281124.0,Levi,Casboult,Carlton,senior,41.0,1990-03-15,201.0,101.0,VIC,Dandenong Stingrays,124.0,132.0,CAR
92,93,1008154,Matthew,Cottrell,3,123900,CAR,DEF,Carlton,49142,1008154.0,Matthew,Cottrell,Carlton,senior,46.0,2000-02-29,181.0,72.0,VIC,Dandenong Stingrays,,,CAR
93,94,990704,Patrick,Cripps,3,635900,CAR,MID,Carlton,44030,990704.0,Patrick,Cripps,Carlton,senior,9.0,1995-03-18,195.0,92.0,WA,East Fremantle,101.0,47.0,CAR
94,95,993795,David,Cuningham,3,360800,CAR,FWD,Carlton,46066,993795.0,David,Cuningham,Carlton,senior,28.0,1997-03-30,185.0,85.0,VIC,Oakleigh Chargers,25.0,14.0,CAR
95,96,996731,Charlie,Curnow,3,372200,CAR,FWD,Carlton,46016,996731.0,Charlie,Curnow,Carlton,senior,30.0,1997-02-03,192.0,96.0,VIC,Geelong Falcons,58.0,77.0,CAR
96,97,270146,Ed,Curnow,3,493200,CAR,MID,Carlton,39680,270146.0,Ed,Curnow,Carlton,senior,35.0,1989-11-07,180.0,85.0,VIC,Geelong Falcons,165.0,36.0,CAR
97,98,1004912,Tom,De Koning,3,123900,CAR,RUC,Carlton,48118,1004912.0,Tom,De Koning,Carlton,senior,12.0,1999-07-16,203.0,97.0,VIC,Dandenong Stingrays,2.0,1.0,CAR
98,99,295518,Sam,Docherty,3,436100,CAR,DEF,Carlton,42248,295518.0,Sam,Docherty,Carlton,senior,15.0,1993-10-17,187.0,87.0,VIC,Gippsland Power,92.0,14.0,CAR
99,100,1002256,Paddy,Dow,3,295500,CAR,FWD MID,Carlton,48002,1002256.0,Paddy,Dow,Carlton,senior,2.0,1999-10-16,187.0,83.0,VIC,Bendigo Pioneers,39.0,14.0,CAR
100,101,999827,Zac,Fisher,3,356100,CAR,FWD MID,Carlton,47022,999827.0,Zac,Fisher,Carlton,senior,25.0,1998-06-15,177.0,75.0,WA,Perth,55.0,21.0,CAR
101,102,296200,Michael,Gibbons,3,321700,CAR,FWD,Carlton,49141,296200.0,Michael,Gibbons,Carlton,senior,40.0,1995-05-15,175.0,75.0,VIC,Williamstown,21.0,16.0,CAR
102,103,298316,Hugh,Goddard,3,129500,CAR,DEF,Carlton,45012,298316.0,Hugh,Goddard,Carlton,senior,45.0,1996-08-24,198.0,94.0,VIC,Geelong Falcons,12.0,1.0,CAR
103,104,1002938,Josh,Honey,3,124900,CAR,MID FWD,Carlton,49970,1002938.0,Josh,Honey,Carlton,rookie,36.0,2001-10-17,184.0,79.0,VIC,Western Jets,,,CAR
104,105,281078,Liam,Jones,3,358800,CAR,DEF,Carlton,40111,281078.0,Liam,Jones,Carlton,senior,14.0,1991-02-24,199.0,97.0,VIC,Scotch College,125.0,84.0,CAR
105,106,1009241,Brodie,Kemp,3,135300,CAR,MID,Carlton,49921,1009241.0,Brodie,Kemp,Carlton,senior,17.0,2001-05-01,192.0,82.0,VIC,Bendigo Pioneers,,,CAR
106,107,1001398,Matthew,Kennedy,3,309500,CAR,FWD,Carlton,46009,1001398.0,Matthew,Kennedy,Carlton,senior,7.0,1997-04-06,190.0,88.0,NSW,Collingullie,41.0,21.0,CAR
107,108,261299,Matthew,Kreuzer,3,528900,CAR,RUC,Carlton,39622,261299.0,Matthew,Kreuzer,Carlton,senior,8.0,1989-05-13,200.0,101.0,VIC,Northern Knights,188.0,94.0,CAR
108,109,296439,Darcy,Lang,3,244400,CAR,FWD,Carlton,44052,296439.0,Darcy,Lang,Carlton,senior,16.0,1995-11-21,183.0,83.0,VIC,Geelong Falcons,63.0,42.0,CAR
109,110,998226,Harrison,Macreadie,3,123900,CAR,DEF,Carlton,47033,998226.0,Harrison,Macreadie,Carlton,senior,26.0,1998-04-11,198.0,92.0,NSW,Henty,9.0,0.0,CAR
110,111,298302,Caleb,Marchbank,3,348000,CAR,DEF,Carlton,45009,298302.0,Caleb,Marchbank,Carlton,senior,22.0,1996-12-07,193.0,93.0,VIC,Murray Bushrangers,48.0,0.0,CAR
111,112,296190,Jack,Martin,3,420800,CAR,FWD MID,Carlton,43095,296190.0,Jack,Martin,Carlton,senior,21.0,1995-01-29,186.0,83.0,WA,Claremont,97.0,81.0,CAR
112,113,297255,Mitch,McGovern,3,263400,CAR,FWD,Carlton,45116,297255.0,Mitch,McGovern,Carlton,senior,11.0,1994-10-11,191.0,93.0,WA,Claremont,64.0,89.0,CAR
113,114,1000953,Harry,McKay,3,334800,CAR,FWD,Carlton,46018,1000953.0,Harry,McKay,Carlton,senior,10.0,1997-12-24,204.0,99.0,VIC,Gippsland Power,35.0,50.0,CAR
114,115,250105,Marc,Murphy,3,492400,CAR,MID,Carlton,2020,250105.0,Marc,Murphy,Carlton,senior,3.0,1987-07-19,180.0,80.0,VIC,Oakleigh Chargers,268.0,185.0,CAR
115,116,297907,Nic,Newman,3,524800,CAR,DEF,Carlton,45172,297907.0,Nic,Newman,Carlton,senior,24.0,1993-01-15,187.0,83.0,VIC,Frankston,51.0,14.0,CAR
116,117,1002259,Lochie,O'Brien,3,243400,CAR,MID,Carlton,48108,1002259.0,Lochie,O'Brien,Carlton,senior,4.0,1999-09-18,185.0,78.0,VIC,Bendigo Pioneers,35.0,9.0,CAR
117,118,1011924,Finbar,O'Dwyer,3,123900,CAR,FWD,Carlton,49094,1011924.0,Finbar,O'Dwyer,Carlton,senior,38.0,2000-07-24,192.0,76.0,VIC,Yarrawonga,,,CAR
118,119,1013973,Matthew,Owies,3,123900,CAR,FWD,Carlton,49138,1013973.0,Matthew,Owies,Carlton,senior,44.0,1997-03-19,179.0,84.0,VIC,Seattle University,,,CAR
119,120,994539,Sam,Petrevski-Seton,3,443300,CAR,DEF MID,Carlton,47004,994539.0,Sam,Petrevski-Seton,Carlton,senior,5.0,1998-02-19,182.0,78.0,WA,Claremont,64.0,19.0,CAR
120,121,1011861,Fraser,Phillips,3,105400,CAR,FWD,Carlton,49979,1011861.0,Fraser,Phillips,Carlton,rookie,39.0,2001-05-15,186.0,71.0,VIC,Gippsland Power,,,CAR
121,122,1011929,Sam,Philp,3,121800,CAR,MID,Carlton,49924,1011929.0,Sam,Philp,Carlton,senior,34.0,2001-08-04,185.0,80.0,VIC,Northern Knights,,,CAR
122,123,298290,Marc,Pittonet,3,236200,CAR,RUC,Carlton,45123,298290.0,Marc,Pittonet,Carlton,senior,27.0,1996-06-03,202.0,105.0,VIC,Oakleigh Chargers,7.0,0.0,CAR
123,124,294624,Lachie,Plowman,3,392800,CAR,DEF,Carlton,43008,294624.0,Lachlan,Plowman,Carlton,senior,20.0,1994-09-11,193.0,90.0,VIC,Calder Cannons,94.0,1.0,CAR
124,125,998100,Cameron,Polson,3,138500,CAR,FWD,Carlton,47086,998100.0,Cameron,Polson,Carlton,senior,29.0,1998-03-11,177.0,81.0,VIC,Sandringham Dragons,16.0,4.0,CAR
125,126,1002942,Sam,Ramsay,3,117300,CAR,MID,Carlton,49951,1002942.0,Sam,Ramsay,Carlton,senior,33.0,2001-03-21,180.0,68.0,VIC,Calder Cannons,,,CAR
126,127,998215,Will,Setterfield,3,329700,CAR,MID,Carlton,47008,998215.0,Will,Setterfield,Carlton,senior,43.0,1998-02-05,192.0,87.0,VIC,Sandringham Dragons,20.0,6.0,CAR
127,128,1011949,Ben,Silvagni,3,123900,CAR,DEF,Carlton,49098,1011949.0,Ben,Silvagni,Carlton,senior,37.0,2000-05-07,196.0,87.0,VIC,Oakleigh Chargers,,,CAR
128,129,1001028,Jack,Silvagni,3,325200,CAR,FWD,Carlton,46054,1001028.0,Jack,Silvagni,Carlton,senior,1.0,1997-12-17,194.0,89.0,VIC,Oakleigh Chargers,60.0,45.0,CAR
129,130,230202,Kade,Simpson,3,442600,CAR,DEF,Carlton,772,230202.0,Kade,Simpson,Carlton,senior,6.0,1984-05-05,183.0,75.0,VIC,Eastern Ranges,325.0,138.0,CAR
130,131,1008312,Liam,Stocker,3,242400,CAR,DEF,Carlton,49032,1008312.0,Liam,Stocker,Carlton,senior,13.0,2000-01-23,184.0,83.0,VIC,Sandringham Dragons,5.0,0.0,CAR
